"Player","Year","Team","Cap.Number","Cash.Spent","Rank","ATT","YDS","Y.A","LG","X20.","TD","REC","TGT","YDS.1","Y.R","TD.1","FL","G","FPTS","FPTS.G","ROST"
"Boston Scott",2021,"Eagles","$920,000",920000,47,87,373,4.3,23,2,7,13,16,83,6.4,0,1,11,85.6,7.8,"0.0%"
"Boston Scott",2022,"Eagles","$1,750,000",1750000,68,54,217,4,21,1,3,5,6,15,3,0,0,15,41.2,2.7,"0.0%"
"Boston Scott",2023,"Eagles","$1,212,360",1982353,96,20,86,4.3,18,0,0,4,6,52,13,0,1,12,11.8,1,"0.0%"
"Brandon Bolden",2021,"Patriots","$2,000,000",2e+06,51,44,226,5.1,24,2,1,41,49,405,9.9,2,0,16,83.1,5.2,"0.0%"
"Brandon Bolden",2022,"Raiders","$2,130,000",2737500,97,17,66,3.9,12,0,0,10,10,62,6.2,1,0,12,18.8,1.6,"0.0%"
"Brandon Bolden",2023,"Raiders","$2,880,000",2255000,98,4,31,7.8,26,1,1,0,0,0,0,0,0,5,11.1,2.2,"0.0%"
"Breece Hall",2022,"Jets","$1,639,049",4441196,40,80,463,5.8,62,3,4,19,31,218,11.5,1,1,7,96.1,13.7,"99.7%"
"Breece Hall",2023,"Jets","$2,048,811",1114762,7,223,994,4.5,83,7,5,76,95,591,7.8,4,0,17,214.5,12.6,"99.7%"
"Brian Hill",2020,"Falcons","$2,133,000",2133000,53,100,465,4.7,62,3,1,25,30,199,8,0,1,16,70.4,4.4,"0.0%"
"Brian Hill",2021,"49ers","$14,000",14000,187,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Brian Robinson Jr.",2022,"Commanders","$856,144",1492909,39,205,797,3.9,24,2,2,9,12,60,6.7,1,0,12,103.7,8.6,"91.4%"
"Brian Robinson Jr.",2023,"Commanders","$1,146,569",934314,22,178,733,4.1,29,4,5,36,43,368,10.2,4,2,15,162.1,10.8,"91.4%"
"Brittain Brown",2022,"Raiders","$724,964",784856,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
