"Player","Year","Team","Cap.Number","Cash.Spent","Rank","ATT","YDS","Y.A","LG","X20.","TD","REC","TGT","YDS.1","Y.R","TD.1","FL","G","FPTS","FPTS.G","ROST"
"Devontae Booker",2021,"Giants","$2,500,000",3625000,35,145,593,4.1,31,3,2,40,45,268,6.7,1,0,16,104.1,6.5,"0.0%"
"Dexter Williams",2020,"Packers","$229,071",229071,153,2,8,4,5,0,0,0,0,0,0,0,0,3,0.8,0.3,"0.0%"
"Dion Lewis",2020,"Giants","$1,550,000",1550000,77,29,115,4,19,0,2,19,30,127,6.7,1,2,16,38.2,2.4,"2.0%"
"Dontrell Hilliard",2020,"Texans","$132,353",132353,133,9,48,5.3,19,0,0,1,1,2,2,0,0,7,5,0.7,"0.0%"
"Dontrell Hilliard",2021,"Titans","$357,778",357778,65,56,350,6.3,68,2,2,19,26,87,4.6,0,1,8,53.7,6.7,"0.0%"
"Dontrell Hilliard",2022,"Titans","$955,278",1075278,59,22,145,6.6,30,2,0,21,26,177,8.4,4,0,12,56.2,4.7,"0.0%"
"Dwayne Washington",2020,"Saints","$887,500",1047500,148,8,15,1.9,5,0,0,0,0,0,0,0,0,11,1.5,0.1,"0.0%"
"Dwayne Washington",2021,"Saints","$987,500",1127500,139,4,16,4,5,0,0,2,2,12,6,0,0,8,2.8,0.4,"0.0%"
"Dwayne Washington",2022,"Saints","$995,000",1135000,134,11,38,3.5,8,0,0,1,1,7,7,0,0,7,4.5,0.6,"0.0%"
"Dwayne Washington",2023,"Broncos","$731,111",906111,170,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"0.0%"
"Elijah Dotson",2023,"Chargers","$60,000",60000,129,4,6,1.5,2,0,0,2,2,13,6.5,0,0,4,1.9,0.5,"0.0%"
"Elijah Holyfield",2020,"Eagles","$170,282",170282,178,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Elijah McGuire",2021,"Chiefs","$182,000",182000,185,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"0.0%"
"Elijah Mitchell",2021,"49ers","$705,893",843572,24,207,963,4.7,39,6,5,19,20,137,7.2,1,0,12,146,12.2,"2.0%"
"Elijah Mitchell",2022,"49ers","$603,672",557779,69,45,279,6.2,37,1,2,3,4,7,2.3,0,0,5,40.6,8.1,"2.0%"
"Elijah Mitchell",2023,"49ers","$985,893",940000,64,75,281,3.7,18,0,2,6,8,14,2.3,0,0,11,41.5,3.8,"2.0%"
"Elijhaa Penny",2020,"Giants","$1,210,000",1210000,138,6,15,2.5,5,0,0,2,3,20,10,0,0,14,3.5,0.3,"0.0%"
"Elijhaa Penny",2021,"Giants","$1,040,000",1040000,90,24,99,4.1,12,0,1,9,13,30,3.3,1,0,13,26.9,2.1,"0.0%"
"Emanuel Wilson",2023,"Packers","$650,000",650000,101,14,85,6.1,31,1,0,4,5,23,5.8,0,0,7,10.8,1.5,"5.7%"
"Emari Demercado",2023,"Cardinals","$755,000",765000,60,58,284,4.9,49,1,2,21,30,119,5.7,0,0,14,52.3,3.7,"0.7%"
"Eno Benjamin",2021,"Cardinals","$805,679",780000,98,34,118,3.5,21,1,1,6,7,42,7,0,0,8,22,2.8,"0.0%"
"Eno Benjamin",2022,"Saints","$198,889",198889,54,77,313,4.1,45,1,2,25,34,193,7.7,0,0,13,64.6,5,"0.0%"
"Eric Gray",2023,"Giants","$744,579",928314,111,17,48,2.8,12,0,0,6,7,22,3.7,0,0,14,7,0.5,"1.4%"
"Evan Hull",2023,"Colts","$527,912",711647,140,1,1,1,1,0,0,1,1,6,6,0,0,1,0.7,0.7,"0.6%"
"Ezekiel Elliott",2020,"Cowboys","$10,900,000",19800000,11,244,979,4,31,3,6,52,71,338,6.5,2,5,15,171.7,11.4,"40.2%"
"Ezekiel Elliott",2021,"Cowboys","$6,820,000",9600000,6,237,1002,4.2,47,3,10,47,65,287,6.1,2,1,17,205.1,12.1,"40.2%"
"Ezekiel Elliott",2022,"Cowboys","$18,220,000",12400000,17,231,876,3.8,27,5,12,17,23,92,5.4,0,0,15,168.8,11.3,"40.2%"
"Ezekiel Elliott",2023,"Patriots","$3,000,000",3300000,33,184,642,3.5,17,0,3,51,65,313,6.1,2,1,17,123.5,7.3,"40.2%"
"Frank Gore",2020,"Jets","$750,000",1050000,46,187,653,3.5,17,0,2,16,19,89,5.6,0,1,15,84.2,5.6,"12.1%"
"Gary Brightwell",2021,"Giants","$677,496",811650,158,1,4,4,4,0,0,1,1,6,6,0,0,7,1,0.1,"0.0%"
"Gary Brightwell",2022,"Giants","$869,718",825000,87,31,141,4.5,25,1,1,5,8,39,7.8,0,0,15,24,1.6,"0.0%"
"Gary Brightwell",2023,"Giants","$984,718",940000,112,9,19,2.1,5,0,0,5,7,47,9.4,0,0,4,6.6,1.7,"0.0%"
"Gerrid Doaks",2021,"Dolphins","$165,600",165600,177,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"0.0%"
"Giovani Bernard",2020,"Bengals","$4,766,666",4100000,36,124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,111.1,6.9,"0.0%"
"Giovani Bernard",2021,"Buccaneers","$987,500",1212500,81,8,58,7.3,24,1,0,23,29,123,5.3,3,0,10,36.1,3.6,"0.0%"
"Giovani Bernard",2022,"Buccaneers","$1,047,500",1272500,139,8,28,3.5,8,0,0,2,2,-1,-0.5,0,0,4,2.7,0.7,"0.0%"
"Godwin Igwebuike",2021,"Lions","$780,000",780000,112,18,118,6.6,42,1,1,7,10,60,8.6,0,2,15,14,0.9,"0.0%"
"Gus Edwards",2020,"Ravens","$750,000",750000,28,144,723,5,36,8,6,9,13,129,14.3,0,1,16,119.2,7.5,"19.0%"
"Gus Edwards",2022,"Ravens","$4,500,000",3250000,56,87,433,5,37,3,3,0,2,0,0,0,1,9,59.3,6.6,"19.0%"
"Gus Edwards",2023,"Ravens","$2,794,000",4484000,14,198,810,4.1,42,6,13,12,13,180,15,0,2,17,175,10.3,"19.0%"
"Hassan Haskins",2022,"Titans","$878,052",1397208,105,25,93,3.7,12,0,0,11,12,57,5.2,0,0,14,15,1.1,"0.0%"
"Hunter Luepke",2023,"Cowboys","$756,666",770000,105,6,19,3.2,9,0,1,3,4,18,6,0,0,17,9.7,0.6,"0.1%"
"Isaiah Spiller",2022,"Chargers","$889,238",1441952,127,18,41,2.3,11,0,0,3,3,13,4.3,0,0,5,5.4,1.1,"0.0%"
"Isaiah Spiller",2023,"Chargers","$1,054,238",870000,93,37,96,2.6,8,0,0,6,6,34,5.7,0,0,9,13,1.4,"0.0%"
"Isiah Pacheco",2022,"Chiefs","$724,777",784108,34,170,830,4.9,31,3,5,13,14,130,10,0,2,17,122,7.2,"91.5%"
"Isiah Pacheco",2023,"Chiefs","$889,777",870000,17,205,935,4.6,48,6,7,44,49,244,5.5,2,1,14,169.9,12.1,"91.5%"
"Israel Abanikanda",2023,"Jets","$834,095",1086380,106,22,70,3.2,12,0,0,7,11,43,6.1,0,1,7,9.3,1.3,"0.1%"
"Ito Smith",2020,"Falcons","$905,218",750000,74,63,268,4.3,24,1,1,17,26,75,4.4,0,0,14,40.3,2.9,"0.0%"
"Ito Smith",2021,"Cowboys","$70,000",70000,129,1,4,4,4,0,1,0,0,0,0,0,0,1,6.4,6.4,"0.0%"
"J.D. McKissic",2020,"Commanders","$1,610,000",2110000,34,85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,111.4,7,"0.0%"
"J.D. McKissic",2021,"Commanders","$1,660,000",1160000,49,48,212,4.4,15,0,2,43,53,397,9.2,2,0,11,84.9,7.7,"0.0%"
"J.D. McKissic",2022,"Commanders","$1,910,000",3865000,82,22,95,4.3,33,1,0,27,40,173,6.4,0,0,9,28.8,3.2,"0.0%"
"J.J. Taylor",2020,"Patriots","$610,000",610000,117,23,110,4.8,28,1,0,1,2,4,4,0,0,6,11.4,1.9,"0.0%"
"J.J. Taylor",2021,"Patriots","$780,000",780000,111,19,37,1.9,15,0,2,4,4,8,2,0,1,5,14.5,2.9,"0.0%"
"J.J. Taylor",2022,"Patriots","$80,500",80500,146,10,9,0.9,5,0,0,1,1,8,8,0,0,1,1.7,1.7,"0.0%"
"J.K. Dobbins",2020,"Ravens","$1,041,716",2336864,17,134,805,6,72,8,9,18,24,120,6.7,0,0,15,150.5,10,"91.1%"
"J.K. Dobbins",2021,"Ravens","$1,302,145",870429,167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"91.1%"
"J.K. Dobbins",2022,"Ravens","$1,562,574",1130858,48,92,520,5.7,44,4,2,7,8,42,6,1,0,8,74.2,9.3,"91.1%"
"J.K. Dobbins",2023,"Ravens","$1,823,003",1391287,104,8,22,2.8,4,0,1,2,3,15,7.5,0,0,1,9.7,9.7,"91.1%"
"Jacques Patrick",2021,"Ravens","$9,200",9200,155,2,12,6,8,0,0,0,0,0,0,0,0,1,1.2,1.2,"0.0%"
"Jahmyr Gibbs",2023,"Lions","$3,244,570",10728280,10,182,945,5.2,36,10,10,52,71,316,6.1,1,1,15,190.1,12.7,"99.8%"
"Jake Funk",2021,"Rams","$578,168",659339,161,2,5,2.5,6,0,0,0,0,0,0,0,0,5,0.5,0.1,"0.0%"
"Jake Funk",2022,"Colts","$45,833",45833,168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Jake Funk",2023,"Ravens","$36,000",36000,126,2,10,5,7,0,0,1,1,12,12,0,0,1,2.2,2.2,"0.0%"
"Jaleel McLaughlin",2023,"Broncos","$755,000",765000,46,76,410,5.4,38,4,1,31,36,160,5.2,2,0,17,75,4.4,"20.4%"
"Jalen Richard",2020,"Raiders","$3,625,000",3500000,81,22,123,5.6,20,1,1,19,23,138,7.3,0,0,13,32.1,2.5,"1.0%"
"Jalen Richard",2021,"Raiders","$2,440,000",3500000,118,9,40,4.4,23,1,0,12,14,72,6,0,0,9,11.2,1.2,"1.0%"
"Jamaal Williams",2020,"Packers","$2,274,498",2133000,38,119,505,4.2,25,1,2,31,35,236,7.6,1,0,14,96.1,6.9,"4.5%"
"Jamaal Williams",2021,"Lions","$1,625,000",2250000,41,153,601,3.9,20,1,3,26,28,157,6,0,0,13,93.8,7.2,"4.5%"
"Jamaal Williams",2022,"Lions","$4,375,000",4e+06,7,262,1066,4.1,58,4,17,12,16,73,6.1,0,2,17,213.9,12.6,"4.5%"
"Jamaal Williams",2023,"Saints","$1,880,000",5e+06,62,106,306,2.9,17,0,1,18,20,62,3.4,0,0,13,42.8,3.3,"4.5%"
"James Conner",2020,"Steelers","$1,001,572",825000,25,169,721,4.3,59,5,6,35,43,215,6.1,0,0,13,129.6,10,"95.4%"
"James Conner",2021,"Cardinals","$1,750,000",1750000,5,202,752,3.7,35,3,15,37,39,375,10.1,3,0,15,220.7,14.7,"95.4%"
"James Conner",2022,"Cardinals","$3,975,000",7945000,19,183,782,4.3,23,3,7,46,58,300,6.5,1,1,13,154.2,11.9,"95.4%"
"James Conner",2023,"Cardinals","$9,445,000",8445000,15,208,1040,5,44,11,7,27,33,165,6.1,2,0,13,174.5,13.4,"95.4%"
"James Cook",2022,"Bills","$1,060,375",2126500,44,91,525,5.8,33,6,2,21,32,180,8.6,1,1,17,86.5,5.1,"98.4%"
"James Cook",2023,"Bills","$1,325,469",970094,11,237,1122,4.7,42,6,2,44,54,445,10.1,4,2,17,188.7,11.1,"98.4%"
"James Robinson",2020,"Jaguars","$611,666",615000,7,240,1070,4.5,47,5,7,49,60,344,7,3,1,14,201.4,14.4,"0.0%"
"James Robinson",2021,"Jaguars","$781,666",780000,25,164,767,4.7,58,4,8,31,46,222,7.2,0,2,14,142.9,10.2,"0.0%"
"James Robinson",2022,"Jets","$546,944",546944,47,110,425,3.9,50,4,3,11,14,51,4.6,2,0,11,77.6,7.1,"0.0%"
"James Robinson",2023,"Saints","$70,000",70000,147,1,2,2,2,0,0,1,1,-2,-2,0,0,1,0,0,"0.0%"
"James White",2020,"Patriots","$4,593,750",3500000,57,35,121,3.5,10,0,2,49,62,375,7.7,1,0,14,67.6,4.8,"0.1%"
"James White",2021,"Patriots","$1,212,500",2462500,101,10,38,3.8,10,0,1,12,14,94,7.8,0,0,3,19.2,6.4,"0.1%"
"JaMycal Hasty",2020,"49ers","$502,353",502353,89,39,148,3.8,20,1,1,7,8,33,4.7,0,0,8,24.1,3,"0.4%"
"JaMycal Hasty",2021,"49ers","$704,445",704445,92,16,68,4.3,21,1,1,23,29,157,6.8,0,1,11,26.5,2.4,"0.4%"
"JaMycal Hasty",2022,"Jaguars","$895,000",895000,64,46,194,4.2,61,1,2,21,27,121,5.8,1,0,14,49.5,3.5,"0.4%"
"JaMycal Hasty",2023,"Patriots","$500,588",465294,148,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,"0.4%"
"JaQuan Hardy",2021,"Cowboys","$220,534",220534,124,4,29,7.3,22,1,1,0,0,0,0,0,0,2,8.9,4.5,"0.0%"
"Jaret Patterson",2021,"Commanders","$671,666",695000,69,68,266,3.9,13,0,2,10,12,73,7.3,0,0,14,45.9,3.3,"0.0%"
"Jaret Patterson",2022,"Commanders","$45,833",45833,121,17,78,4.6,14,0,0,0,1,0,0,0,0,2,7.8,3.9,"0.0%"
"Jashaun Corbin",2022,"Giants","$207,000",207000,174,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%"
"Jashaun Corbin",2023,"Giants","$458,333",458333,133,1,1,1,1,0,0,3,3,12,4,0,0,3,1.3,0.4,"0.0%"
"Jason Huntley",2020,"Eagles","$610,000",610000,144,5,19,3.8,10,0,0,1,2,0,0,0,0,5,1.9,0.4,"0.0%"
"Jason Huntley",2021,"Eagles","$8,333",25000,132,13,51,3.9,18,0,0,0,1,0,0,0,0,1,5.1,5.1,"0.0%"
"Javon Leake",2020,"Commanders","$0",0,164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Javonte Williams",2021,"Broncos","$1,611,955",4467820,18,203,903,4.4,49,6,4,43,53,316,7.3,3,1,17,161.9,9.5,"86.7%"
"Javonte Williams",2022,"Broncos","$2,014,944",1062989,86,47,204,4.3,17,0,0,16,22,76,4.8,0,1,4,26,6.5,"86.7%"
"Javonte Williams",2023,"Broncos","$2,417,933",1465978,32,217,774,3.6,21,2,3,47,58,228,4.9,2,1,16,132.2,8.3,"86.7%"
"Jaylen Samuels",2021,"Texans","$265,333",265333,142,5,9,1.8,3,0,0,3,4,14,4.7,0,0,3,2.3,0.8,"0.0%"
"Jaylen Warren",2022,"Steelers","$709,000",717000,52,77,379,4.9,31,3,1,28,33,214,7.6,0,0,16,65.3,4.1,"54.7%"
"Jaylen Warren",2023,"Steelers","$874,000",870000,30,149,784,5.3,74,6,4,61,74,370,6.1,0,2,17,135.4,8,"54.7%"
"Jeremy Cox",2020,"Broncos","$25,200",25200,180,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,"0.0%"
"Jeremy McNichols",2020,"Titans","$661,765",661765,82,47,204,4.3,20,1,1,12,17,55,4.6,0,0,16,31.9,2,"2.3%"
"Jeremy McNichols",2021,"Titans","$0",0,71,41,156,3.8,14,0,0,28,38,240,8.6,1,0,13,45.6,3.5,"2.3%"
"Jeremy McNichols",2023,"49ers","$52,222",60000,164,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"2.3%"
"Jerick McKinnon",2020,"49ers","$2,910,000",1160000,40,81,319,3.9,55,1,5,33,46,253,7.7,1,0,16,93.2,5.8,"0.0%"
"Jerick McKinnon",2021,"Chiefs","$721,667",831667,95,12,62,5.2,18,0,0,13,20,107,8.2,1,0,9,22.9,2.5,"0.0%"
"Jerick McKinnon",2022,"Chiefs","$1,047,500",1187500,24,72,291,4,30,2,1,56,71,512,9.1,9,1,17,140.3,8.3,"0.0%"
"Jerick McKinnon",2023,"Chiefs","$1,092,500",1317500,56,21,60,2.9,10,0,1,25,32,192,7.7,4,0,12,59.4,5,"0.0%"
"Jermar Jefferson",2021,"Lions","$679,581",738324,99,15,74,4.9,28,1,2,4,5,23,5.8,0,0,5,21.7,4.3,"0.0%"
"Jermar Jefferson",2022,"Lions","$241,333",241333,164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Jerome Ford",2022,"Browns","$709,148",950759,147,8,12,1.5,9,0,0,0,0,0,0,0,0,13,1.2,0.1,"54.7%"
"Jerome Ford",2023,"Browns","$950,537",870000,19,204,813,4,69,5,4,44,63,319,7.3,5,1,17,167.2,9.8,"54.7%"
"Joe Mixon",2020,"Bengals","$3,850,938",11325000,49,119,428,3.6,34,3,3,21,26,138,6.6,1,1,6,78.6,13.1,"98.7%"
"Joe Mixon",2021,"Bengals","$8,420,588",8670588,3,292,1205,4.1,32,6,13,42,48,314,7.5,3,1,16,245.9,15.4,"98.7%"
"Joe Mixon",2022,"Bengals","$11,420,588",8641176,13,212,826,3.9,40,4,7,60,75,441,7.4,2,0,15,180.7,12,"98.7%"
"Joe Mixon",2023,"Bengals","$8,500,000",6100000,6,257,1034,4,44,3,9,52,64,376,7.2,3,0,17,215,12.6,"98.7%"
"Jonathan Taylor",2020,"Colts","$1,423,482",3863928,4,232,1169,5,62,7,11,36,40,299,8.3,1,1,15,216.8,14.5,"99.7%"
"Jonathan Taylor",2021,"Colts","$1,779,353",965871,1,332,1811,5.5,83,14,18,40,51,360,9,2,2,17,333.1,19.6,"99.7%"
"Jonathan Taylor",2022,"Colts","$2,135,224",1321742,36,192,861,4.5,66,5,4,28,40,143,5.1,0,3,12,118.4,9.9,"99.7%"
"Jonathan Taylor",2023,"Colts","$5,117,482",11990000,28,169,741,4.4,49,4,7,19,23,153,8.1,1,0,10,137.4,13.7,"99.7%"
"Jonathan Ward",2020,"Cardinals","$466,471",466471,128,0,0,0,0,0,0,1,1,11,11,1,0,14,7.1,0.5,"0.0%"
"Jonathan Ward",2021,"Cardinals","$780,000",780000,128,9,33,3.7,7,0,0,3,4,34,11.3,0,0,9,6.7,0.7,"0.0%"
"Jonathan Ward",2022,"Titans","$99,444",99444,138,5,25,5,12,0,0,2,3,7,3.5,0,0,4,3.2,0.8,"0.0%"
"Jonathan Ward",2023,"Titans","$280,556",280556,136,3,11,3.7,8,0,0,0,0,0,0,0,0,5,1.1,0.2,"0.0%"
"Jonathan Williams",2020,"Commanders","$12,000",12000,157,1,5,5,5,0,0,4,4,21,5.3,0,1,5,0.6,0.1,"0.0%"
"Jonathan Williams",2021,"Commanders","$236,111",275000,105,17,79,4.6,23,1,1,4,6,28,7,0,0,5,16.7,3.3,"0.0%"
"Jonathan Williams",2022,"Commanders","$915,000",1055000,95,37,152,4.1,23,1,0,7,10,40,5.7,0,0,9,19.2,2.1,"0.0%"
"Jonathan Williams",2023,"Commanders","$248,644",273644,171,1,-2,-2,0,0,0,0,1,0,0,0,0,1,-0.2,-0.2,"0.0%"
"Jordan Howard",2020,"Eagles","$155,058",155058,84,35,60,1.7,11,0,4,1,1,-3,-3,0,0,7,29.7,4.2,"0.0%"
"Jordan Howard",2021,"Eagles","$425,000",495000,61,86,406,4.7,25,1,3,2,5,19,9.5,0,0,7,60.5,8.6,"0.0%"
"Jordan Mason",2022,"49ers","$708,333",715000,76,43,258,6,55,1,1,0,0,0,0,0,0,12,31.8,2.7,"85.8%"
"Jordan Mason",2023,"49ers","$873,333",870000,63,40,206,5.2,26,1,3,3,4,31,10.3,0,0,16,41.7,2.6,"85.8%"
"Jordan Mims",2023,"Saints","$161,667",161667,157,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,"0.1%"
"Jordan Wilkins",2020,"Colts","$810,310",750000,69,84,308,3.7,22,1,1,12,16,105,8.8,0,0,15,49.3,3.3,"0.0%"
"Jordan Wilkins",2021,"Titans","$107,111",107111,193,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%"
"Josh Adams",2020,"Jets","$264,706",264706,83,29,157,5.4,25,1,2,6,8,29,4.8,0,0,8,30.6,3.8,"0.0%"
"Josh Jacobs",2020,"Raiders","$2,712,136",1037427,8,273,1065,3.9,28,3,12,33,45,238,7.2,0,2,15,198.3,13.2,"98.7%"
"Josh Jacobs",2021,"Raiders","$3,254,563",1579854,16,217,872,4,28,2,9,54,64,348,6.4,0,2,15,172,11.5,"98.7%"
"Josh Jacobs",2022,"Raiders","$3,796,990",2122281,1,340,1653,4.9,86,7,12,53,64,400,7.5,0,1,17,275.3,16.2,"98.7%"
"Josh Jacobs",2023,"Raiders","$11,791,000",11391000,25,233,805,3.5,63,3,6,37,54,296,8,0,1,13,144.1,11.1,"98.7%"
"Josh Johnson",2021,"Seahawks","$36,667",36667,172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Joshua Kelley",2020,"Chargers","$805,086",1390344,63,111,354,3.2,33,3,2,23,23,148,6.4,0,2,14,58.2,4.2,"0.0%"
"Joshua Kelley",2021,"Chargers","$975,086",780000,116,33,102,3.1,14,0,0,5,6,38,7.6,0,1,8,12,1.5,"0.0%"
"Joshua Kelley",2022,"Chargers","$1,090,086",895000,63,69,287,4.2,22,1,2,14,25,101,7.2,0,0,12,50.8,4.2,"0.0%"
"Joshua Kelley",2023,"Chargers","$1,205,086",1010000,58,107,405,3.8,49,2,2,8,12,32,4,0,1,17,53.7,3.2,"0.0%"
"Julius Chestnut",2022,"Titans","$156,667",156667,129,9,12,1.3,5,0,0,3,3,41,13.7,0,0,6,5.3,0.9,"2.4%"
"Julius Chestnut",2023,"Titans","$540,833",540833,160,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"2.4%"
"Justice Hill",2020,"Ravens","$860,414",675000,123,12,60,5,19,0,0,5,5,20,4,0,0,12,8,0.7,"22.9%"
"Justice Hill",2022,"Ravens","$1,080,414",895000,80,49,262,5.3,34,1,0,12,12,58,4.8,0,1,15,30,2,"22.9%"
"Justice Hill",2023,"Ravens","$1,510,000",2010000,42,84,387,4.6,41,2,3,28,39,206,7.4,1,1,16,81.3,5.1,"22.9%"
"Justin Jackson",2020,"Chargers","$750,000",750000,72,59,270,4.6,36,3,0,19,24,173,9.1,0,0,9,46.3,5.1,"0.0%"
"Justin Jackson",2021,"Chargers","$920,000",920000,60,68,364,5.4,75,2,2,22,25,178,8.1,0,1,14,64.2,4.6,"0.0%"
"Justin Jackson",2022,"Lions","$845,278",977500,71,42,170,4,27,1,1,12,19,101,8.4,1,0,15,39.1,2.6,"0.0%"
"Kalen Ballage",2020,"Chargers","$352,941",352941,59,91,303,3.3,17,0,3,29,37,166,5.7,0,0,11,64.9,5.9,"0.0%"
"Kalen Ballage",2021,"Steelers","$920,000",920000,135,12,36,3,13,0,0,2,7,8,4,0,0,9,4.4,0.5,"0.0%"
"Kareem Hunt",2020,"Browns","$4,009,000",4009000,10,198,841,4.2,33,3,6,38,51,304,8,5,0,16,180.5,11.3,"87.8%"
"Kareem Hunt",2021,"Browns","$5,000,000",5e+06,46,78,386,4.9,33,2,5,22,27,174,7.9,0,0,8,88,11,"87.8%"
"Kareem Hunt",2022,"Browns","$6,250,000",6250000,41,123,468,3.8,24,2,3,35,44,210,6,1,0,17,91.8,5.4,"87.8%"
"Kareem Hunt",2023,"Browns","$1,225,000",1198529,37,135,411,3,16,0,9,15,21,84,5.6,0,0,15,103.5,6.9,"87.8%"
"Ke'Shawn Vaughn",2020,"Buccaneers","$864,727",1628908,96,26,109,4.2,19,0,0,5,10,34,6.8,1,1,10,18.3,1.8,"0.0%"
"Ke'Shawn Vaughn",2021,"Buccaneers","$1,080,909",826182,87,36,180,5,55,1,2,4,8,26,6.5,0,0,6,32.6,5.4,"0.0%"
"Ke'Shawn Vaughn",2022,"Buccaneers","$1,297,091",1042364,123,17,53,3.1,12,0,0,3,4,19,6.3,0,0,9,7.2,0.8,"0.0%"
"Ke'Shawn Vaughn",2023,"Patriots","$48,300",48300,116,24,42,1.8,9,0,0,2,5,2,1,0,0,5,4.4,0.9,"0.0%"
"Keaontay Ingram",2022,"Cardinals","$747,647",875588,106,27,60,2.2,13,0,1,4,5,21,5.3,0,0,11,14.1,1.3,"0.0%"
"Keaontay Ingram",2023,"Chiefs","$108,333",108333,103,35,74,2.1,14,0,0,4,4,26,6.5,0,0,7,10,1.4,"0.0%"
"Keaton Mitchell",2023,"Ravens","$622,667",634667,54,47,396,8.4,60,7,2,9,11,93,10.3,0,0,7,60.9,8.7,"8.6%"
"Kendre Miller",2023,"Saints","$1,028,057",1862228,71,41,156,3.8,18,0,1,10,11,117,11.7,0,0,8,33.3,4.2,"7.8%"
"Kene Nwangwu",2021,"Vikings","$766,532",1331129,102,13,61,4.7,19,0,0,4,5,9,2.3,0,0,9,19,2.1,"0.0%"
"Kene Nwangwu",2022,"Vikings","$1,013,199",825000,116,9,14,1.6,8,0,0,2,2,21,10.5,0,0,14,9.5,0.7,"0.0%"
"Kene Nwangwu",2023,"Vikings","$1,128,199",940000,131,5,13,2.6,8,0,0,0,0,0,0,0,0,8,1.3,0.2,"0.0%"
"Kenjon Barner",2020,"Buccaneers","$176,471",214118,172,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,"0.0%"
"Kenjon Barner",2021,"Buccaneers","$193,166",193166,181,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,"0.0%"
"Kenneth Gainwell",2021,"Eagles","$743,881",995524,45,68,291,4.3,18,0,5,33,50,253,7.7,1,1,16,90.4,5.7,"2.0%"
"Kenneth Gainwell",2022,"Eagles","$908,881",825000,53,53,240,4.5,13,0,4,23,29,169,7.3,0,0,17,64.9,3.8,"2.0%"
"Kenneth Gainwell",2023,"Eagles","$1,023,881",940000,52,84,364,4.3,32,3,2,30,37,183,6.1,0,1,16,67.4,4.2,"2.0%"
"Kenneth Walker III",2022,"Seahawks","$1,534,833",4024332,15,228,1050,4.6,74,10,9,27,35,165,6.1,0,0,15,175.5,11.7,"97.3%"
"Kenneth Walker III",2023,"Seahawks","$1,918,541",1088708,16,219,905,4.1,45,7,8,29,37,259,8.9,1,0,15,170.4,11.4,"97.3%"
"Kenyan Drake",2020,"Cardinals","$8,483,000",8483000,12,239,955,4,69,6,10,25,31,137,5.5,0,1,15,167.2,11.1,"0.0%"
"Kenyan Drake",2021,"Raiders","$3,000,000",3250000,57,63,254,4,21,1,2,30,40,291,9.7,1,0,12,72.5,6,"0.0%"
"Kenyan Drake",2022,"Ravens","$1,035,000",1035000,43,109,482,4.4,40,5,4,17,26,89,5.2,1,0,12,87.1,7.3,"0.0%"
"Kenyan Drake",2023,"Packers","$152,744",177744,137,2,0,0,0,0,0,2,3,31,15.5,0,1,3,1.1,0.4,"0.0%"
"Kerryon Johnson",2020,"Lions","$1,773,736",1071246,67,52,181,3.5,14,0,2,19,26,187,9.8,1,1,16,52.8,3.3,"0.0%"
"Kevin Harris",2022,"Patriots","$543,751",647503,111,18,52,2.9,14,0,1,0,0,0,0,0,0,5,11.2,2.2,"0.0%"
"Kevin Harris",2023,"Patriots","$145,000",145000,88,16,65,4.1,18,0,1,3,3,58,19.3,0,0,4,18.3,4.6,"0.0%"
"Khalil Herbert",2021,"Bears","$692,676",790704,59,103,433,4.2,29,4,2,14,16,96,6.9,0,0,16,64.9,4.1,"7.3%"
"Khalil Herbert",2022,"Bears","$754,899",722223,37,129,731,5.7,63,4,4,9,12,57,6.3,1,0,13,108.8,8.4,"7.3%"
"Khalil Herbert",2023,"Bears","$972,676",940000,41,132,611,4.6,38,5,2,20,31,134,6.7,1,1,12,92.5,7.7,"7.3%"
"Kylin Hill",2021,"Packers","$543,655",602953,138,10,24,2.4,8,0,0,1,2,5,5,0,0,8,2.9,0.4,"0.0%"
"Kyren Williams",2022,"Rams","$660,380",893186,90,35,139,4,17,0,0,9,12,76,8.4,0,0,8,21.5,2.7,"99.6%"
