player,year,Team,cap number,Cash.Spent,Rank,ATT,YDS,Y.A,LG,X20.,TD,REC,TGT,YDS.1,Y.R,TD.1,FL,G,FPTS,FPTS.G,ROST,cap number_paired,age
Boston Scott,2022,Eagles,"$1,750,000",1750000.0,68,54,217,4.0,21,1,3,5,6,15,3.0,0,0,15,41.2,2.7,0.0%,"$1,750,000",27.0
Boston Scott,2023,Eagles,"$1,212,360",1982353.0,96,20,86,4.3,18,0,0,4,6,52,13.0,0,1,12,11.8,1.0,0.0%,"$1,212,360",28.0
Brandon Bolden,2021,Patriots,"$2,000,000",2000000.0,51,44,226,5.1,24,2,1,41,49,405,9.9,2,0,16,83.1,5.2,0.0%,"$2,000,000",31.0
Brandon Bolden,2022,Raiders,"$2,130,000",2737500.0,97,17,66,3.9,12,0,0,10,10,62,6.2,1,0,12,18.8,1.6,0.0%,"$2,130,000",32.0
Brandon Bolden,2023,Raiders,"$2,880,000",2255000.0,98,4,31,7.8,26,1,1,0,0,0,0.0,0,0,5,11.1,2.2,0.0%,"$2,880,000",33.0
Breece Hall,2022,Jets,"$1,639,049",4441196.0,40,80,463,5.8,62,3,4,19,31,218,11.5,1,1,7,96.1,13.7,99.7%,"$1,639,049",21.0
Breece Hall,2023,Jets,"$2,048,811",1114762.0,7,223,994,4.5,83,7,5,76,95,591,7.8,4,0,17,214.5,12.6,99.7%,"$2,048,811",22.0
Brian Robinson Jr.,2022,Commanders,"$856,144",1492909.0,39,205,797,3.9,24,2,2,9,12,60,6.7,1,0,12,103.7,8.6,91.4%,"$856,144",23.0
Brian Robinson Jr.,2023,Commanders,"$1,146,569",934314.0,22,178,733,4.1,29,4,5,36,43,368,10.2,4,2,15,162.1,10.8,91.4%,"$1,146,569",24.0
Caleb Huntley,2022,Falcons,"$502,500",502500.0,67,76,366,4.8,30,2,1,2,2,3,1.5,0,0,12,42.9,3.6,0.0%,"$502,500",24.0
Cam Akers,2020,Rams,"$1,122,371",2659484.0,42,145,625,4.3,61,4,2,11,14,123,11.2,1,1,12,90.8,7.6,20.7%,"$1,122,371",21.0
Cam Akers,2021,Rams,"$1,402,964",890593.0,153,5,3,0.6,2,0,0,3,3,10,3.3,0,0,2,1.3,0.7,20.7%,"$1,402,964",22.0
Cam Akers,2022,Rams,"$1,683,557",1171186.0,31,188,786,4.2,42,3,7,13,18,117,9.0,0,2,15,128.3,8.6,20.7%,"$1,683,557",23.0
Cam Akers,2023,Vikings,"$1,290,470",1290470.0,68,60,167,2.8,19,0,2,11,12,70,6.4,0,0,7,35.7,5.1,20.7%,"$1,290,470",24.0
Chase Brown,2023,Bengals,"$754,873",969490.0,65,44,179,4.1,31,2,0,14,15,156,11.1,1,0,12,39.5,3.3,74.4%,"$754,873",23.0
Chase Edmonds,2020,Cardinals,"$863,089",750000.0,30,97,448,4.6,32,4,1,53,67,402,7.6,4,0,16,115.0,7.2,0.1%,"$863,089",24.0
Chase Edmonds,2021,Cardinals,"$1,033,089",920000.0,37,116,592,5.1,54,3,2,43,53,311,7.2,0,1,12,100.3,8.4,0.1%,"$1,033,089",25.0
Chase Edmonds,2022,Broncos,"$1,111,111",1111111.0,57,68,245,3.6,28,3,2,16,24,157,9.8,1,0,13,58.2,4.5,0.1%,"$1,111,111",26.0
Chase Edmonds,2023,Buccaneers,"$1,092,500",1232500.0,76,49,176,3.6,21,1,0,14,17,81,5.8,0,0,13,25.7,2.0,0.1%,"$1,092,500",27.0
Chris Evans,2021,Bengals,"$703,222",832888.0,83,17,77,4.5,13,0,0,15,17,151,10.1,2,0,9,34.8,3.9,0.0%,"$703,222",24.0
Chris Evans,2022,Bengals,"$868,222",825000.0,114,0,0,0.0,0,0,0,3,4,38,12.7,1,0,10,9.8,1.0,0.0%,"$868,222",25.0
Chris Evans,2023,Bengals,"$983,222",940000.0,138,2,12,6.0,7,0,0,1,1,-1,-1.0,0,0,7,1.1,0.2,0.0%,"$983,222",26.0
