player,year,Team,cap number,Cash.Spent,Rank,ATT,YDS,Y.A,LG,X20.,TD,REC,TGT,YDS.1,Y.R,TD.1,FL,G,FPTS,FPTS.G,ROST,cap number_paired,age
Ronald Jones II,2020,Buccaneers,"$1,928,707",1122902.0,15,192,978,5.1,98,6,7,28,42,165,5.9,1,2,14,158.3,11.3,0.0%,"$1,928,707",23.0
Ronald Jones II,2021,Buccaneers,"$2,250,158",1444353.0,58,101,428,4.2,30,1,4,10,13,64,6.4,0,2,15,69.2,4.6,0.0%,"$2,250,158",24.0
Ronald Jones II,2022,Chiefs,"$1,500,000",1500000.0,103,17,70,4.1,13,0,1,1,1,22,22.0,0,0,5,15.2,3.0,0.0%,"$1,500,000",25.0
Ronnie Rivers,2022,Rams,"$274,167",274167.0,132,9,21,2.3,5,0,0,5,5,29,5.8,0,0,2,5.0,2.5,0.1%,"$274,167",23.0
Ronnie Rivers,2023,Rams,"$694,444",694444.0,92,32,129,4.0,10,0,0,5,5,22,4.4,0,0,9,15.1,1.7,0.1%,"$694,444",24.0
Roschon Johnson,2023,Bears,"$942,172",1518688.0,51,81,352,4.3,29,2,2,34,40,209,6.1,0,0,15,68.1,4.5,15.4%,"$942,172",22.0
Royce Freeman,2020,Broncos,"$1,081,255",832000.0,88,35,170,4.9,23,2,0,12,13,81,6.8,0,0,16,25.1,1.6,0.1%,"$1,081,255",24.0
Royce Freeman,2021,Texans,"$485,000",485000.0,94,56,169,3.0,13,0,0,10,16,77,7.7,0,0,12,24.6,2.1,0.1%,"$485,000",25.0
Royce Freeman,2022,Texans,"$230,000",230000.0,110,41,117,2.9,11,0,0,6,8,33,5.5,0,1,5,13.0,2.6,0.1%,"$230,000",26.0
Royce Freeman,2023,Rams,"$626,667",720000.0,61,77,319,4.1,23,1,2,1,2,13,13.0,0,0,11,45.2,4.1,0.1%,"$626,667",27.0
Salvon Ahmed,2020,Dolphins,"$466,471",466471.0,64,75,319,4.3,31,1,3,11,14,61,5.5,0,0,6,58.0,9.7,0.0%,"$466,471",21.0
Salvon Ahmed,2021,Dolphins,"$780,000",780000.0,91,54,149,2.8,16,0,0,12,19,117,9.8,0,0,11,26.6,2.4,0.0%,"$780,000",22.0
Salvon Ahmed,2022,Dolphins,"$895,000",895000.0,109,12,64,5.3,11,0,1,1,1,8,8.0,0,0,7,13.2,1.9,0.0%,"$895,000",23.0
Salvon Ahmed,2023,Dolphins,"$1,410,000",1270000.0,75,22,61,2.8,10,0,1,16,23,88,5.5,1,0,9,26.9,3.0,0.0%,"$1,410,000",24.0
Samaje Perine,2020,Bengals,"$825,000",825000.0,66,63,301,4.8,46,1,3,11,12,66,6.0,0,0,16,54.7,3.4,16.9%,"$825,000",25.0
Samaje Perine,2021,Bengals,"$1,450,000",1800000.0,63,55,246,4.5,46,2,1,27,31,196,7.3,1,0,15,56.2,3.7,16.9%,"$1,450,000",26.0
Samaje Perine,2022,Bengals,"$1,850,000",1500000.0,38,95,394,4.1,29,1,2,38,51,287,7.6,4,0,16,104.1,6.5,16.9%,"$1,850,000",27.0
Samaje Perine,2023,Broncos,"$3,000,000",4500000.0,49,53,238,4.5,24,1,1,50,56,455,9.1,0,2,17,71.3,4.2,16.9%,"$3,000,000",28.0
