"Player","Year","Team","Cap.Number","Cash.Spent","Rank","REC","TGT","YDS","Y.R","LG","X20.","TD","ATT","YDS.1","TD.1","FL","G","FPTS","FPTS.G","ROST","REC_TGT_interaction"
"Mack Hollins",2020,"Dolphins","$825,000",825000,131,16,25,176,11,34,2,1,0,0,0,1,16,21.6,1.4,"0.2%",0.64
"Mack Hollins",2021,"Dolphins","$987,500",1127500,96,14,28,223,15.9,65,4,4,0,0,0,0,16,46.3,2.9,"0.2%",0.5
"Mack Hollins",2022,"Raiders","$2,000,000",2500000,42,57,94,690,12.1,60,9,4,4,40,0,0,17,97.2,5.7,"0.2%",0.606382978723404
"Mack Hollins",2023,"Falcons","$2,500,000",2380000,121,18,30,251,13.9,45,3,0,0,0,0,0,13,25.1,1.9,"0.2%",0.6
"Malcolm Perry",2020,"Dolphins","$628,873",685492,152,9,13,92,10.2,25,1,1,3,5,0,0,9,15.7,1.7,"0.0%",0.692307692307692
"Malik Heath",2023,"Packers","$753,000",759000,138,15,24,125,8.3,16,0,1,0,0,0,0,13,18.5,1.4,"0.1%",0.625
"Malik Taylor",2020,"Packers","$610,000",610000,155,5,6,66,13.2,26,2,1,1,9,0,0,15,13.5,0.9,"0.0%",0.833333333333333
"Malik Taylor",2023,"Jets","$382,066",382066,196,2,4,13,6.5,7,0,0,0,0,0,0,3,1.3,0.4,"0.0%",0.5
"Malik Turner",2020,"Cowboys","$750,000",750000,238,0,0,0,0,0,0,0,0,0,0,0,6,0,0,"0.0%",NA
"Malik Turner",2021,"Cowboys","$848,333",848333,120,12,16,149,12.4,61,1,3,0,0,0,0,7,32.9,4.7,"0.0%",0.75
"Malik Turner",2022,"Texans","$59,700",59700,238,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",NA
"Marcus Johnson",2020,"Titans","$0",0,128,14,28,255,18.2,55,6,0,0,0,0,0,11,25.5,2.3,"0.0%",0.5
"Marcus Johnson",2021,"Titans","$837,778",942778,147,9,19,160,17.8,50,3,0,2,-2,0,0,7,15.8,2.3,"0.0%",0.473684210526316
"Marcus Johnson",2022,"Giants","$596,667",690000,155,9,22,99,11,18,0,0,0,0,0,0,8,9.9,1.2,"0.0%",0.409090909090909
"Marcus Kemp",2020,"Dolphins","$48,106",48106,208,1,1,11,11,11,0,0,0,0,0,0,10,1.1,0.1,"0.0%",1
"Marcus Kemp",2021,"Chiefs","$850,000",850000,202,2,5,24,12,16,0,0,0,0,0,0,12,2.4,0.2,"0.0%",0.4
"Marcus Kemp",2022,"Chiefs","$330,233",330233,235,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",NA
"Marken Michel",2020,"Panthers","$252,728",252728,235,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",NA
"Marken Michel",2022,"Commanders","$207,000",207000,242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Marquez Callaway",2020,"Saints","$576,274",582941,132,21,27,213,10.1,27,1,0,0,0,0,0,11,21.3,1.9,"0.0%",0.777777777777778
"Marquez Callaway",2021,"Saints","$783,333",780000,38,46,84,698,15.2,58,9,6,0,0,0,0,17,105.8,6.2,"0.0%",0.547619047619048
"Marquez Callaway",2022,"Saints","$898,334",895000,129,16,32,158,9.9,33,2,1,0,0,0,0,10,21.8,2.2,"0.0%",0.5
"Marquez Callaway",2023,"Saints","$238,333",238333,205,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"0.0%",NA
"Marquez Stevenson",2021,"Bills","$553,413",682818,227,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"0.0%",NA
"Marquez Valdes-Scantling",2020,"Packers","$804,389",750000,44,33,63,690,20.9,78,10,6,4,13,0,1,16,104.3,6.5,"0.7%",0.523809523809524
"Marquez Valdes-Scantling",2021,"Packers","$2,237,389",2183000,73,26,55,430,16.5,75,8,3,0,0,0,0,11,61,5.5,"0.7%",0.472727272727273
"Marquez Valdes-Scantling",2022,"Chiefs","$5,000,000",9e+06,52,42,81,687,16.4,57,13,2,1,-3,0,0,17,80.4,4.7,"0.7%",0.518518518518518
"Marquez Valdes-Scantling",2023,"Chiefs","$11,000,000",9e+06,105,21,42,315,15,46,5,1,0,0,0,1,16,35.5,2.2,"0.7%",0.5
"Marquise Brown",2020,"Ravens","$2,678,941",1030788,32,58,100,769,13.3,70,13,8,1,1,0,0,16,125,7.8,"27.1%",0.58
"Marquise Brown",2021,"Ravens","$3,214,729",1566576,25,91,146,1008,11.1,49,15,6,1,5,0,1,16,135.3,8.5,"27.1%",0.623287671232877
"Marquise Brown",2022,"Cardinals","$2,102,364",2102364,47,67,107,709,10.6,47,9,3,1,1,0,0,12,89,7.4,"27.1%",0.626168224299065
"Marquise Brown",2023,"Cardinals","$13,413,000",13413000,52,51,101,574,11.3,41,8,4,2,23,0,0,14,83.7,6,"27.1%",0.504950495049505
"Marquise Goodwin",2021,"Bears","$987,500",1212500,111,20,40,313,15.7,50,5,1,2,-1,0,0,14,37.2,2.7,"0.0%",0.5
"Marquise Goodwin",2022,"Seahawks","$1,001,389",1212500,72,27,42,387,14.3,38,9,4,2,5,0,0,13,63.2,4.9,"0.0%",0.642857142857143
"Marquise Goodwin",2023,"Browns","$1,640,000",1625000,163,4,13,67,16.8,57,1,0,4,33,0,0,12,10,0.8,"0.0%",0.307692307692308
"Marvin Hall",2020,"Browns","$194,118",194118,103,18,32,302,16.8,73,4,2,1,1,0,0,12,42.3,3.5,"0.0%",0.5625
"Mason Kinsey",2021,"Titans","$193,067",193067,230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Mason Kinsey",2022,"Titans","$262,333",262333,212,1,1,3,3,3,0,0,0,0,0,0,2,0.3,0.2,"0.0%",1
"Mason Kinsey",2023,"Titans","$166,667",166667,200,1,1,6,6,6,0,0,0,0,0,0,6,0.6,0.1,"0.0%",1
"Matt Cole",2020,"49ers","$71,765",71765,223,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Matt Cole",2021,"Seahawks","$36,800",36800,224,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Maurice Alexander",2022,"Lions","$154,167",154167,207,1,1,7,7,7,0,0,0,0,0,0,3,0.7,0.2,"0.0%",1
"Maurice Ffrench",2021,"Chargers","$238,801",238801,222,0,0,0,0,0,0,0,1,3,0,0,2,0.3,0.2,"0.0%",NA
"Michael Bandy",2021,"Chargers","$193,067",193067,240,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",NA
"Michael Bandy",2022,"Chargers","$470,000",470000,158,10,21,89,8.9,25,2,0,0,0,0,0,8,8.9,1.1,"0.0%",0.476190476190476
"Michael Bandy",2023,"Broncos","$96,667",96667,225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Michael Gallup",2020,"Cowboys","$972,495",750000,36,59,105,843,14.3,55,11,5,0,0,0,0,16,114.3,7.1,"0.0%",0.561904761904762
"Michael Gallup",2021,"Cowboys","$2,655,495",2433000,81,35,62,445,12.7,41,6,2,0,0,0,0,9,56.5,6.3,"0.0%",0.564516129032258
"Michael Gallup",2022,"Cowboys","$4,823,529",12823529,67,39,74,424,10.9,27,4,4,0,0,0,0,14,66.4,4.7,"0.0%",0.527027027027027
"Michael Gallup",2023,"Cowboys","$6,950,000",1.2e+07,80,34,57,418,12.3,41,6,2,0,0,0,0,17,53.8,3.2,"0.0%",0.596491228070175
