Player,Year,Age,Cash.Spent
Jalen Guyton,2022,25,965000.0
Jalen Guyton,2023,26,893444.0
Jalen Nailor,2022,23,885660.0
Jalen Nailor,2023,24,716389.0
Jalen Reagor,2020,21,7821400.0
Jalen Reagor,2021,22,1213213.0
Jalen Reagor,2022,23,1816426.0
Jalen Reagor,2023,24,617222.0
Jalen Tolbert,2022,23,1620068.0
Jalen Tolbert,2023,24,938443.0
Jalin Hyatt,2023,22,1841140.0
Jameson Williams,2022,21,10584484.0
Jameson Williams,2023,22,1115812.0
Jamison Crowder,2020,27,9000000.0
Jamison Crowder,2021,28,5500000.0
Jamison Crowder,2022,29,1935000.0
Jamison Crowder,2023,30,1100278.0
Jason Brownlee,2023,24,780000.0
Jauan Jennings,2021,24,660000.0
Jauan Jennings,2022,25,825000.0
Jauan Jennings,2023,26,940000.0
Jaxon Smith-Njigba,2023,21,8235316.0
Jayden Reed,2023,23,2972384.0
Jaylen Waddle,2021,22,17718904.0
Jaylen Waddle,2022,23,1891182.0
Jaylen Waddle,2023,24,3122364.0
Jerry Jeudy,2020,21,9219424.0
Jerry Jeudy,2021,22,1300589.0
Jerry Jeudy,2022,23,1991178.0
Jerry Jeudy,2023,24,2681767.0
John Metchie III,2023,23,1071826.0
Jonathan Mingo,2023,22,4191168.0
Jordan Addison,2023,21,7736716.0
Josh Downs,2023,22,1764876.0
Josh Reynolds,2020,25,2133000.0
Josh Reynolds,2021,26,500000.0
Josh Reynolds,2022,27,3000000.0
Josh Reynolds,2023,28,3500000.0
JuJu Smith-Schuster,2020,23,1037151.0
JuJu Smith-Schuster,2021,24,8000000.0
JuJu Smith-Schuster,2022,25,10200000.0
JuJu Smith-Schuster,2023,26,9647059.0
Justin Jefferson,2020,21,7713860.0
Justin Jefferson,2021,22,1206491.0
Justin Jefferson,2022,23,1802982.0
Justin Jefferson,2023,24,2399473.0
Justin Watson,2020,24,750000.0
Justin Watson,2022,26,1035000.0
Justin Watson,2023,27,1500000.0
Justyn Ross,2022,22,430000.0
Justyn Ross,2023,23,500000.0
K.J. Osborn,2020,23,877772.0
K.J. Osborn,2021,24,780000.0
K.J. Osborn,2022,25,895000.0
K.J. Osborn,2023,26,2743000.0
Kadarius Toney,2021,22,7997824.0
